Group 1,Group 2,Group 3
"['Value: 0.15385', 'Distance: 0.00093']","['Value: 0.46875', 'Distance: 0.00076']","['Value: 0.18750', 'Distance: 0.00125']"
"['Value: 0.15385', 'Distance: 0.00093']","['Value: 0.46875', 'Distance: 0.00076']","['Value: 0.18750', 'Distance: 0.00125']"
"['Value: 0.15385', 'Distance: 0.00093']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18750', 'Distance: 0.00125']"
"['Value: 0.15385', 'Distance: 0.00093']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18750', 'Distance: 0.00125']"
"['Value: 0.15385', 'Distance: 0.00093']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18750', 'Distance: 0.00125']"
"['Value: 0.15385', 'Distance: 0.00093']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18750', 'Distance: 0.00125']"
"['Value: 0.15385', 'Distance: 0.00093']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18750', 'Distance: 0.00125']"
"['Value: 0.15152', 'Distance: 0.00140']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18750', 'Distance: 0.00125']"
"['Value: 0.15789', 'Distance: 0.00497']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18750', 'Distance: 0.00125']"
"['Value: 0.15789', 'Distance: 0.00497']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18750', 'Distance: 0.00125']"
"['Value: 0.15789', 'Distance: 0.00497']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18750', 'Distance: 0.00125']"
"['Value: 0.15789', 'Distance: 0.00497']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18750', 'Distance: 0.00125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18750', 'Distance: 0.00125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.19048', 'Distance: 0.00172']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.19048', 'Distance: 0.00172']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.19048', 'Distance: 0.00172']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46667', 'Distance: 0.00132']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.47059', 'Distance: 0.00260']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.47059', 'Distance: 0.00260']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.47222', 'Distance: 0.00423']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.47222', 'Distance: 0.00423']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.47368', 'Distance: 0.00569']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.47368', 'Distance: 0.00569']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.47368', 'Distance: 0.00569']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.47368', 'Distance: 0.00569']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.47368', 'Distance: 0.00569']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.47368', 'Distance: 0.00569']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.47368', 'Distance: 0.00569']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.47368', 'Distance: 0.00569']","['Value: 0.18182', 'Distance: 0.00693']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.47368', 'Distance: 0.00569']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46154', 'Distance: 0.00645']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46154', 'Distance: 0.00645']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46154', 'Distance: 0.00645']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46154', 'Distance: 0.00645']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46154', 'Distance: 0.00645']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.46154', 'Distance: 0.00645']","['Value: 0.20000', 'Distance: 0.01125']"
